Index	sample	Genus	species	type	count	cells	per_filter	Barrel	day	timepoint
1	D1_B1_T1	Akashiwo	sanguinea	2	20	1100.00	36299.00	1	1	1
2	D2_B1_T1	Akashiwo	sanguinea	2	28	1.51E+03	0.37017	1	2	1
3	D3_B1_T1	Akashiwo	sanguinea	2	17	2050.00	16556.00	1	3	1
4	D4_B1_T1	Akashiwo	sanguinea	2	13	521.00	49951.00	1	4	1
5	D5_B1_T1	Akashiwo	sanguinea	2	11	5030.00	4374.00	1	5	1
6	D6_B1_T1	Akashiwo	sanguinea	2	18	7500.00	4798.00	1	6	1
7	D2_B1_T1	Aloricate	ciliate	3	1	5.40E+01	0.37017	1	2	1
8	D4_B1_T1	Aloricate	ciliate	3	1	287.00	6957.00	1	4	1
9	D1_B1_T1	Amphidinoid	unknown	2	3	165.00	36299.00	1	1	1
10	D2_B1_T1	Amphidinoid	unknown	2	1	5.40E+01	0.37017	1	2	1
11	D5_B1_T1	Amphiprora	unknown	1	2	914.00	4374.00	1	5	1
12	D1_B1_T1	Asterionella	unknown	1	34	1870.00	36299.00	1	1	1
13	D2_B1_T1	Asterionella	unknown	1	43	2.32E+03	0.37017	1	2	1
14	D3_B1_T1	Asterionella	unknown	1	30	3620.00	16556.00	1	3	1
15	D4_B1_T1	Asterionella	unknown	1	54	15500.00	6957.00	1	4	1
16	D5_B1_T1	Asterionella	unknown	1	74	191000.00	776.00	1	5	1
17	D6_B1_T1	Asterionella	unknown	1	52	39100.00	2662.00	1	6	1
18	D1_B1_T1	Asteromphalus	unknown	1	6	331.00	36299.00	1	1	1
19	D2_B1_T1	Asteromphalus	unknown	1	22	1.19E+03	0.37017	1	2	1
20	D4_B1_T1	Asteromphalus	unknown	1	11	3160.00	6957.00	1	4	1
21	D6_B1_T1	Asteromphalus	unknown	1	14	5840.00	4798.00	1	6	1
22	D1_B1_T1	Centric	unknown	1	60	4850.00	24739.00	1	1	1
23	D2_B1_T1	Centric	unknown	1	56	4.21E+03	0.26585	1	2	1
24	D3_B1_T1	Centric	unknown	1	51	6160.00	16556.00	1	3	1
